index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
27479,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Comoros,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,341,United States,2005,451.89
27480,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Ghana,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,221,United States,2005,292.87
27481,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Guinea,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,99,United States,2005,131.19
27482,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Guinea-Bissau,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,68,United States,2005,90.11
27483,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Liberia,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,67,United States,2005,88.79
27484,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Madagascar,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,124,United States,2005,164.32
27485,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Mali,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,58,United States,2005,76.86
27486,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Mauritania,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,116,United States,2005,153.72
27487,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Niger,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,36,United States,2005,47.71
27488,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Nigeria,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,102,United States,2005,135.17
27489,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Sao Tome and Principe,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,152,United States,2005,201.43
27490,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Senegal,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,125,United States,2005,165.65
27491,Health and economic impact of rotavirus vaccination in GAVI-eligible countries,"ABSTRACT: BACKGROUND: Rotavirus infection is responsible for about 500,000 deaths annually, and the disease burden is disproportionately borne by children in low-income countries. Recently the World Health Organization (WHO) has released a global recommendation that all countries include infant rotavirus vaccination in their national immunization programs. Our objective was to provide information on the expected health, economic and financial consequences of rotavirus vaccines in the 72 GAVI support-eligible countries. METHODS: We synthesized population-level data from various sources (primarily from global-level databases) for the 72 countries eligible for the support by the GAVI Alliance (GAVI-eligible countries) in order to estimate the health and economic impact associated with rotavirus vaccination programs. The primary outcome measure was incremental cost (in 2005 international dollars [I$]) per disability-adjusted life year (DALY) averted. We also projected the expected reduction in rotavirus disease burden and financial resources required associated with a variety of scale-up scenarios. RESULTS: Under the base-case assumptions (70% coverage), vaccinating one single birth cohort would prevent about 52% of rotavirus associated deaths in the 72 GAVI-eligible countries. Assuming I$25 per vaccinated child (~$5 per dose), the number of countries with the incremental cost per DALY averted less than I$200 was 47. Using the WHO's cost-effectiveness threshold based on per capita GDP, the vaccines were considered cost-effective in 68 of the 72 countries (~94%). A 10-year routine rotavirus vaccination would prevent 0.9-2.8 million rotavirus associated deaths among children under age 5 in the poorest parts of the world, depending on vaccine scale-up scenarios. Over the same intervention period, rotavirus vaccination programs would also prevent 4.5-13.3 million estimated cases of hospitalization and 41-107 million cases of outpatient clinic visits in the same population. CONCLUSIONS: Our findings suggest that rotavirus vaccination would be considered a worthwhile investment for improving general development as well as childhood health level in most low-income countries, with a favorable cost-effectiveness profile even under a vaccine price ($1.5-$5.0 per dose) higher than those of traditional childhood vaccines.",2010-99-06304,20470426,BMC Public Health,Kerry McBrien,2010,10 / 1,253,No,20470426,"Kerry McBrien; Health and economic impact of rotavirus vaccination in GAVI-eligible countries, BMC Public Health, 2010-May-14; 10(1):1471-2458; 253",DALY,Sierra Leone,Not Stated,Immunization,Rotavirus vaccination program vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,41,United States,2005,54.33
